"name","slug","zone_id","region","url","high_season","shoulder_season","low_season"
"San Francisco Bay Area","san-francisco-bay-area","6Rx0W3Uz38N9WHVK7oTgpi","San Francisco Bay Area","https://www.surfline.com/travel/zones/san-francisco-bay-area/6Rx0W3Uz38N9WHVK7oTgpi","October-February","September, March-April","May-August"
"Santa Barbara","santa-barbara","5gC1W66RCBwJJ1FLIZqBrX","Santa Barbara","https://www.surfline.com/travel/zones/santa-barbara/5gC1W66RCBwJJ1FLIZqBrX","November-February","March-April, September-October","May-August"
"New England","new-england","6pXnF4uKQNDzkFw6UM0jVn","New England","https://www.surfline.com/travel/zones/new-england/6pXnF4uKQNDzkFw6UM0jVn","September-October","November-May","June-August"
"Ventura","ventura","2mXzuDvEKnnfdLUdtooZi9","Ventura","https://www.surfline.com/travel/zones/ventura/2mXzuDvEKnnfdLUdtooZi9","November-February","March-April, September-October","May-August"
"Santa Cruz","santa-cruz","4p07p8hm8GYt7ZDPjeX5q6","Santa Cruz","https://www.surfline.com/travel/zones/santa-cruz/4p07p8hm8GYt7ZDPjeX5q6","October-February ","March-September ","None"
"Central Portugal ","central-portugal","1r4wj5D65AEOyD4yCYcL9E","Portugal","https://www.surfline.com/travel/zones/central-portugal/1r4wj5D65AEOyD4yCYcL9E","October - March ","September & April - May","Jun - August"
"San Diego","san-diego","6XF16sAt5OMfYwl5rt1IQw","San Diego","https://www.surfline.com/travel/zones/san-diego/6XF16sAt5OMfYwl5rt1IQw","November-February","March-April, September-October ","May-August "
"North Los Angeles ","north-los-angeles","33CswE0ZerBxijuiUYDGaq","North Los Angeles ","https://www.surfline.com/travel/zones/north-los-angeles/33CswE0ZerBxijuiUYDGaq","May-October","November, March-April ","December-February "
"Southeast","southeast","6CIc8sUE0GvNDFc4FQL0Io","Southeast","https://www.surfline.com/travel/zones/southeast/6CIc8sUE0GvNDFc4FQL0Io","August-November","December-April","May-July"
"Central California","central-california","5mVd18FSFyqgXG8tjEG004","Central California","https://www.surfline.com/travel/zones/central-california/5mVd18FSFyqgXG8tjEG004","October-February ","September, March-April ","May-August "
"South Los Angeles","south-los-angeles","3qNV8r2LuWDMFZ37iyfGjj","South Los Angeles ","https://www.surfline.com/travel/zones/south-los-angeles/3qNV8r2LuWDMFZ37iyfGjj","November-April","May, September-October","June-August"
"New Jersey","new-jersey","30sW78yZns0uDbA2rFb49f","New Jersey","https://www.surfline.com/travel/zones/new-jersey/30sW78yZns0uDbA2rFb49f","September-October","November-May","June-August"
"New York","new-york","oLs7rGeOPp53FERlD37K4","New York","https://www.surfline.com/travel/zones/new-york/oLs7rGeOPp53FERlD37K4","September-October","November-May","June-August"
"Delmarva","delmarva","7uLayS8NUeH6gAmp3Ue52P","Delmarva","https://www.surfline.com/travel/zones/delmarva/7uLayS8NUeH6gAmp3Ue52P","September-October","November-May","June-August"
"Florida","florida","4HC4DUuIygMif2yuH5YQYm","Florida","https://www.surfline.com/travel/zones/florida/4HC4DUuIygMif2yuH5YQYm","September-March","April-May, August","June-July"
"Outer Banks North Carolina","outer-banks-north-carolina","2kUMyScJq0lBHQFMFQIiLB","Outer Banks North Carolina","https://www.surfline.com/travel/zones/outer-banks-north-carolina/2kUMyScJq0lBHQFMFQIiLB","September-November"," December-April","May-August"
"Orange County","orange-county","15fPNHerH5Bn0uTYT7AW1Y","Orange County","https://www.surfline.com/travel/zones/orange-county/15fPNHerH5Bn0uTYT7AW1Y","May-February","March-April","None"
"West Bali","west-bali","7FaOcqkWKyz2Z4JnWnC9c9","Bali","https://www.surfline.com/travel/zones/west-bali/7FaOcqkWKyz2Z4JnWnC9c9","May - September","April & October","November - March"
"The Mentawais","the-mentawais","1XvP2vpOfuvFMiAHIaNUOT","The Mentawais","https://www.surfline.com/travel/zones/the-mentawais/1XvP2vpOfuvFMiAHIaNUOT","May - September","March - April & October - November","December - February"
"North Maui","north-maui","20ZlfiNvOe0A2MKpihmiwf","Hawaii","https://www.surfline.com/travel/zones/north-maui/20ZlfiNvOe0A2MKpihmiwf","December - February","March - April & October - November","May - September"
"South Maui","south-maui","2G4q8STMRMXjglxBIZETgH","Hawaii","https://www.surfline.com/travel/zones/south-maui/2G4q8STMRMXjglxBIZETgH","May - August","March - April & September - October","November - February"
"Northwest Puerto Rico","northwest-puerto-rico","5HW2GezyPDMK0WtILfhNdM","Puerto Rico","https://www.surfline.com/travel/zones/northwest-puerto-rico/5HW2GezyPDMK0WtILfhNdM","November - February","September - October & March - May","June - August"
"Puerto Escondido","puerto-escondido","3AGSJibB6dkuMvMLXt8nRk","Mexico","https://www.surfline.com/travel/zones/puerto-escondido/3AGSJibB6dkuMvMLXt8nRk","May - September","March - April & October - November","December - February"
"East Bali","east-bali","2w73Lq8zhAjKkYf2VmoTWl","Bali","https://www.surfline.com/travel/zones/east-bali/2w73Lq8zhAjKkYf2VmoTWl","June - August","April - May & September - October","November - March"
"North Shore","north-shore-oahu","2X8m3n3bkJ0d0B7rxjlVrQ","Hawaii","https://www.surfline.com/travel/zones/north-shore-oahu/2X8m3n3bkJ0d0B7rxjlVrQ","November - February ","September - October & March - April ","May - August "
"South Nicaragua","south-nicaragua","7EloiGedIma8eitIufib84","Nicaragua","https://www.surfline.com/travel/zones/south-nicaragua/7EloiGedIma8eitIufib84","May - August","March-April & September-October","November - February"
"West El Salvador","west-el-salvador","1BYUuyeFF6evaddscNHoZZ","El Salvador","https://www.surfline.com/travel/zones/west-el-salvador/1BYUuyeFF6evaddscNHoZZ","May - August","March - April & September - October","November - February"
"South Shore","south-shore","6lUrzx8yP94xPM0DKD2sPu","Hawaii","https://www.surfline.com/travel/zones/south-shore/6lUrzx8yP94xPM0DKD2sPu","May - August","March - April & September - October","November - February"
"South Costa Rica","south-costa-rica","5mdkkYPOhdIrpABfNnJOk1","Costa Rica","https://www.surfline.com/travel/zones/south-costa-rica/5mdkkYPOhdIrpABfNnJOk1","May - August","February - April & September - October","November - January"
"Caribbean Costa Rica","caribbean-costa-rica","5sRob8wTreMFzlLuOwmn6y","Costa Rica","https://www.surfline.com/travel/zones/caribbean-costa-rica/5sRob8wTreMFzlLuOwmn6y","December - February & June - July","November & March - May & August","September - October"
"Northern Baja","baja","7M2nKaVk99Z9oDcPIrOFOr","Mexico","https://www.surfline.com/travel/zones/baja/7M2nKaVk99Z9oDcPIrOFOr","October - February & May - September","March - April","None"
"North Costa Rica","north-costa-rica","wAtkMc4s78fEgDZfAN8FO","Costa Rica","https://www.surfline.com/travel/zones/north-costa-rica/wAtkMc4s78fEgDZfAN8FO","May - August","September - November & February - April","December - January"
"The Maldives","maldives","4U7Hlv4u4iDj4hViLwxRaQ","Maldives","https://www.surfline.com/travel/zones/maldives/4U7Hlv4u4iDj4hViLwxRaQ","May - September ","March - April & October - November","December - February"
"Southern Points","southern-points","5yU0uv27IhxW7eweSZdnzn","Mexico","https://www.surfline.com/travel/zones/southern-points/5yU0uv27IhxW7eweSZdnzn","April - September","October & March","November - February"
"Gold Coast","gold-coast","32EDJnvmVAiH9s0DmKUXmh","Australia","https://www.surfline.com/travel/zones/gold-coast/32EDJnvmVAiH9s0DmKUXmh","February - April","November - January & May - July","August & September - October"
"North Nicaragua","north-nicaragua","32oV6EwfWIJpP8Wt8V2o2x","Nicaragua","https://www.surfline.com/travel/zones/north-nicaragua/32oV6EwfWIJpP8Wt8V2o2x","May - August","March - April & September - October","November - February"
"Puerto Vallarta","puerto-vallarta","2BC853uJtl3OLnyG7TubaU","Mexico","https://www.surfline.com/travel/zones/puerto-vallarta/2BC853uJtl3OLnyG7TubaU","May - September & December - February","March - April & October - November","None"
"Surf Coast","surfcoast","4Pwum4iGWFbj20jAl2gYEW","Australia","https://www.surfline.com/travel/zones/surfcoast/4Pwum4iGWFbj20jAl2gYEW","June - August","March - May & September","October - February"
"Sydney","sydney","68HtJv1bEFpcd2gJz0Q4r2","Australia","https://www.surfline.com/travel/zones/sydney/68HtJv1bEFpcd2gJz0Q4r2","March - June","January - February & July - October","November - December"
"Northern NSW","nsw","17LjhmLbowE6SY0cgc2y8q","Australia","https://www.surfline.com/travel/zones/nsw/17LjhmLbowE6SY0cgc2y8q","February - April","November-January & May-July","August - October"
"Morocco","north-morocco","5RVMIeJDkhg9FrPb3H07jB","Morocco","https://www.surfline.com/travel/zones/north-morocco/5RVMIeJDkhg9FrPb3H07jB","October - March","September & April","May- August"
"North Puerto Rico ","north-puerto-rico","2HnBp4ue7V3vbIH0S4Klpw","Puerto Rico","https://www.surfline.com/travel/zones/north-puerto-rico/2HnBp4ue7V3vbIH0S4Klpw","November - February","September - October & March - May","June - August"
"Central Costa Rica","central-costa-rica","4Zzhs0YeRlQ7P6HrFzETQA","Costa Rica","https://www.surfline.com/travel/zones/central-costa-rica/4Zzhs0YeRlQ7P6HrFzETQA","May - August","September - November & February - April","December - January"
"Barbados","barbados","1dc88VTHJAsiQVMdK6Cn5O","Barbados","https://www.surfline.com/travel/zones/barbados/1dc88VTHJAsiQVMdK6Cn5O","September - March","April & August","May - July"
"East El Salvador","east-el-salvador","678TNM29cMm5W1rbBcu5XR","El Salvador","https://www.surfline.com/travel/zones/east-el-salvador/678TNM29cMm5W1rbBcu5XR","May - August","March - April & September - October","November - February"
"West Oz","southwest-australia","203MVHY0vxbLxBR70bECvR","Australia","https://www.surfline.com/travel/zones/southwest-australia/203MVHY0vxbLxBR70bECvR","June - September","March - May","October - February"
"Fiji","fiji","7C9gyXYkeIB0Keufjw7u9x","Fiji","https://www.surfline.com/travel/zones/fiji/7C9gyXYkeIB0Keufjw7u9x","May - September","October - November & March - April","December - February"
"Dominican Republic ","dominican-republic","4zSc2eymL5TtdjV8IMlMRX","Dominican Republic","https://www.surfline.com/travel/zones/dominican-republic/4zSc2eymL5TtdjV8IMlMRX","November-February","September-October/March-May","June-August"
"Los Cabos","cabo","74PpydRB7EP7YK6G9J8MPQ","Mexico","https://www.surfline.com/travel/zones/cabo/74PpydRB7EP7YK6G9J8MPQ","May - September","March - April & October - November","December - February"
"Southwest France","southwest-france","3ngUJj4BnMbiGNrDacErUn"," France","https://www.surfline.com/travel/zones/southwest-france/3ngUJj4BnMbiGNrDacErUn","October - March","September & April - May","June - August"
